budget,condition,TP,FP,FN,Precision,Recall,F1,FPR,AI_Triaged,AI_Suppressed,AI_FP_Suppressed,AI_FN_Introduced,AI_Recall_NoAgent,run_dir,status,timestamp
10,baseline,119,71,75,0.6263,0.6134,0.6198,0.0139,,,,,,testbed/results/budget10_baseline,ok,2026-09-09T19:45:42+00:00
10,no-interleave,119,71,75,0.6263,0.6134,0.6198,0.0139,,,,,,testbed/results/budget10_nointerleave,ok,2026-09-09T19:51:36+00:00
10,no-priority,119,71,75,0.6263,0.6134,0.6198,0.0139,,,,,,testbed/results/budget10_nopriority,ok,2026-09-09T19:57:30+00:00
10,no-runtime-confirm,119,72,75,0.6230,0.6134,0.6182,0.0139,,,,,,testbed/results/budget10_noruntimeconfirm,ok,2026-09-09T20:03:23+00:00
10,no-adaptive-sorting,119,71,75,0.6263,0.6134,0.6198,0.0139,,,,,,testbed/results/budget10_noadaptivesorting,ok,2026-09-09T20:09:16+00:00
20,baseline,125,76,69,0.6219,0.6443,0.6329,0.0139,,,,,,testbed/results/budget20_baseline,ok,2026-09-09T20:15:55+00:00
20,no-interleave,125,76,69,0.6219,0.6443,0.6329,0.0139,,,,,,testbed/results/budget20_nointerleave,ok,2026-09-09T20:22:35+00:00
20,no-priority,119,92,75,0.5640,0.6134,0.5877,0.0139,,,,,,testbed/results/budget20_nopriority,ok,2026-09-09T20:29:24+00:00
20,no-runtime-confirm,125,76,69,0.6219,0.6443,0.6329,0.0139,,,,,,testbed/results/budget20_noruntimeconfirm,ok,2026-09-09T20:36:04+00:00
20,no-adaptive-sorting,125,76,69,0.6219,0.6443,0.6329,0.0139,,,,,,testbed/results/budget20_noadaptivesorting,ok,2026-09-09T20:42:43+00:00
50,baseline,125,93,69,0.5734,0.6443,0.6068,0.0139,,,,,,testbed/results/budget50_baseline,ok,2026-09-09T20:52:04+00:00
50,no-interleave,125,93,69,0.5734,0.6443,0.6068,0.0139,,,,,,testbed/results/budget50_nointerleave,ok,2026-09-09T21:01:15+00:00
50,no-priority,125,93,69,0.5734,0.6443,0.6068,0.0139,,,,,,testbed/results/budget50_nopriority,ok,2026-09-09T21:10:31+00:00
50,no-runtime-confirm,125,93,69,0.5734,0.6443,0.6068,0.0139,,,,,,testbed/results/budget50_noruntimeconfirm,ok,2026-09-09T21:16:23+00:00
50,no-adaptive-sorting,125,93,69,0.5734,0.6443,0.6068,0.0139,,,,,,testbed/results/budget50_noadaptivesorting,ok,2026-09-09T21:25:39+00:00
0,baseline,125,93,69,0.5734,0.6443,0.6068,0.0139,,,,,,testbed/results/budget0_baseline,ok,2026-09-09T22:10:35+00:00
0,no-interleave,125,93,69,0.5734,0.6443,0.6068,0.0139,,,,,,testbed/results/budget0_nointerleave,ok,2026-09-09T22:55:26+00:00
0,no-priority,125,93,69,0.5734,0.6443,0.6068,0.0139,,,,,,testbed/results/budget0_nopriority,ok,2026-09-09T23:40:17+00:00
0,no-runtime-confirm,125,93,69,0.5734,0.6443,0.6068,0.0139,,,,,,testbed/results/budget0_noruntimeconfirm,ok,2026-09-10T00:25:06+00:00
0,no-adaptive-sorting,125,93,69,0.5734,0.6443,0.6068,0.0139,,,,,,testbed/results/budget0_noadaptivesorting,ok,2026-09-10T01:10:04+00:00
20,ai-triage,125,77,69,0.6188,0.6443,0.6313,0.0139,456,253,181,13,0.7113,testbed/results/budget20_aitriage,ok,2026-09-11T13:56:57+00:00
50,ai-triage,125,94,69,0.5708,0.6443,0.6053,0.0139,476,254,191,9,0.6907,testbed/results/budget50_aitriage,ok,2026-09-11T14:11:46+00:00
0,ai-triage,125,94,69,0.5708,0.6443,0.6053,0.0139,474,268,198,13,0.7113,testbed/results/budget0_aitriage,ok,2026-09-11T14:41:02+00:00
10,ai-triage,119,72,75,0.6230,0.6134,0.6182,0.0139,442,236,184,9,0.6598,testbed/results/budget10_aitriage,ok,2026-09-11T15:01:47+00:00
